Folder Name,Size,Path,File Count,Last Modified,Depth,Parent Folder,Size (MB)
site-packages,2861265616,C:\Users\teddi\.pyenv\pyenv-win\versions\3.9.6\Lib\site-packages,79048,2023-07-08 16:10:22.783890688,7,C:\Users\teddi\.pyenv\pyenv-win\versions\3.9.6\Lib,2728.715530395508
Docker,2846046790,C:\Program Files\Docker\Docker,296,2023-07-08 04:44:25.653070080,2,C:\Program Files\Docker,2714.201726913452
Alteryx,2763142709,C:\Users\teddi\AppData\Local\Alteryx,38632,2023-07-25 23:58:36.450615296,4,C:\Users\teddi\AppData\Local,2635.1382341384888
cache,2640096082,C:\Users\teddi\AppData\Local\pip\cache,1395,2023-02-19 22:38:43.271372544,5,C:\Users\teddi\AppData\Local\pip,2517.791826248169
pip,2640096082,C:\Users\teddi\AppData\Local\pip,1395,2023-01-06 19:57:50.363817728,4,C:\Users\teddi\AppData\Local,2517.791826248169
Lib,2622752575,C:\ProgramData\Anaconda3\Lib,104758,2022-11-02 23:23:24.005574400,2,C:\ProgramData\Anaconda3,2501.251769065857
AzRecorderFree,2615007818,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211224828\Video\AzRecorderFree,11,2023-02-12 05:18:31.295024640,10,C:\Users\teddi\Documents\Samsung\SmartSwitch\backup\SM-G975U1\SM-G975U1_15134989482\SM-G975U1_20230211224828\Video,2493.8657932281494
http,2612753105,C:\Users\teddi\AppData\Local\pip\cache\http,1254,2023-02-01 01:18:40.958958080,6,C:\Users\teddi\AppData\Local\pip\cache,2491.715531349182
site-packages,2592900983,C:\ProgramData\Anaconda3\Lib\site-packages,102807,2023-07-10 15:35:21.595837952,3,C:\ProgramData\Anaconda3\Lib,2472.7830724716187
resources,2559280469,C:\Program Files\Docker\Docker\resources,47,2023-07-08 04:45:00.523982080,3,C:\Program Files\Docker\Docker,2440.720051765442
bin,2471469725,C:\Users\teddi\AppData\Local\Alteryx\bin,36014,2023-07-21 16:09:33.593703680,5,C:\Users\teddi\AppData\Local\Alteryx,2356.9772005081177
